M1:gmoverid (L=1.00e-07) X,M1:gmoverid (L=1.00e-07) Y,M1:gmoverid (L=2.00e-07) X,M1:gmoverid (L=2.00e-07) Y,M1:gmoverid (L=3.00e-07) X,M1:gmoverid (L=3.00e-07) Y,M1:gmoverid (L=4.00e-07) X,M1:gmoverid (L=4.00e-07) Y,M1:gmoverid (L=5.00e-07) X,M1:gmoverid (L=5.00e-07) Y,M1:gmoverid (L=6.00e-07) X,M1:gmoverid (L=6.00e-07) Y,M1:gmoverid (L=7.00e-07) X,M1:gmoverid (L=7.00e-07) Y,M1:gmoverid (L=8.00e-07) X,M1:gmoverid (L=8.00e-07) Y,M1:gmoverid (L=9.00e-07) X,M1:gmoverid (L=9.00e-07) Y,M1:gmoverid (L=1.00e-06) X,M1:gmoverid (L=1.00e-06) Y
0.4430000000000001,20.68888180146623,0.4430000000000001,19.63005448218574,0.4430000000000001,19.18106321033127,0.4430000000000001,18.94382002765922,0.4430000000000001,18.71856681530149,0.4430000000000001,18.51900852410573,0.4430000000000001,18.34497708348854,0.4430000000000001,18.19332558620167,0.4430000000000001,18.06061276477722,0.4430000000000001,17.94378282937508
0.4440000000000001,20.61827788616215,0.4440000000000001,19.56201009003144,0.4440000000000001,19.11478319079014,0.4440000000000001,18.87787592307512,0.4440000000000001,18.65292300616606,0.4440000000000001,18.45363937474318,0.4440000000000001,18.27986166279,0.4440000000000001,18.12844493545813,0.4440000000000001,17.99594922419558,0.4440000000000001,17.8793199700728
0.4450000000000001,20.54765879869205,0.4450000000000001,19.49412748188828,0.4450000000000001,19.04868575296003,0.4450000000000001,18.81211030575064,0.4450000000000001,18.58745926920521,0.4450000000000001,18.38845350817441,0.4450000000000001,18.21493300199822,0.4450000000000001,18.06375432522486,0.4450000000000001,17.93147866971491,0.4450000000000001,17.81505268986555
0.4460000000000001,20.47702978449129,0.4460000000000001,19.42641008580953,0.4460000000000001,18.98277342966746,0.4460000000000001,18.74652561489483,0.4460000000000001,18.52217791075299,0.4460000000000001,18.32345308463506,0.4460000000000001,18.15019311658861,0.4460000000000001,17.99925563443286,0.4460000000000001,17.86720285457905,0.4460000000000001,17.75098262768271
0.4470000000000001,20.40639607939788,0.4470000000000001,19.35886123522543,0.4470000000000001,18.9170486537831,0.4470000000000001,18.68112419246441,0.4470000000000001,18.45708113993909,0.4470000000000001,18.25864016706079,0.4470000000000001,18.08564392502614,0.4470000000000001,17.93495064568522,0.4470000000000001,17.80312343667611,0.4470000000000001,17.68711132825721
0.4480000000000001,20.33576290778019,0.4480000000000001,19.29148416759876,0.4480000000000001,18.85151375762001,0.4480000000000001,18.61590828271743,0.4480000000000001,18.3921710685346,0.4480000000000001,18.19401672124286,0.4480000000000001,18.02128724920306,0.4480000000000001,17.87084104593948,0.4480000000000001,17.73924197942927,0.4480000000000001,17.62344024319058
0.4490000000000001,20.26513548059902,0.4490000000000001,19.22428202316431,0.4490000000000001,18.78617097244798,0.4490000000000001,18.55088003189515,0.4490000000000001,18.32744971092959,0.4490000000000001,18.12958461611162,0.4490000000000001,17.9571248150005,0.4490000000000001,17.80692842730781,0.4490000000000001,17.67555995279693,0.4490000000000001,17.5599707321207
0.4500000000000001,20.1945189934078,0.4500000000000001,19.15725784375735,0.4500000000000001,18.7210224281264,0.4500000000000001,18.486041488032,0.4500000000000001,18.26291898424084,0.4500000000000001,18.06534562414802,0.4500000000000001,17.89315825297041,0.4500000000000001,17.74321428796944,0.4500000000000001,17.61207873437823,0.4500000000000001,17.49670406398713
0.4510000000000001,20.12391862429232,0.4510000000000001,19.09041457173331,0.4510000000000001,18.6560701528553,0.4510000000000001,18.42139460089233,0.4510000000000001,18.19858070854694,0.4510000000000001,18.00130142191717,0.4510000000000001,17.82938909913375,0.4510000000000001,17.6797000331917,0.4510000000000001,17.54879961061806,0.4510000000000001,17.43364141838862
0.4520000000000001,20.05333953175505,0.4520000000000001,19.02375504898269,0.4520000000000001,18.59131607304574,0.4520000000000001,18.35694122203413,0.4520000000000001,18.13443660724916,0.4520000000000001,17.93745359072271,0.4520000000000001,17.7658187958908,0.4520000000000001,17.6163869764546,0.4520000000000001,17.48572377810885,0.4520000000000001,17.37078388702836
