M1:id (L=1.00e-07) X,M1:id (L=1.00e-07) Y,M1:id (L=2.00e-07) X,M1:id (L=2.00e-07) Y,M1:id (L=3.00e-07) X,M1:id (L=3.00e-07) Y,M1:id (L=4.00e-07) X,M1:id (L=4.00e-07) Y,M1:id (L=5.00e-07) X,M1:id (L=5.00e-07) Y,M1:id (L=6.00e-07) X,M1:id (L=6.00e-07) Y,M1:id (L=7.00e-07) X,M1:id (L=7.00e-07) Y,M1:id (L=8.00e-07) X,M1:id (L=8.00e-07) Y,M1:id (L=9.00e-07) X,M1:id (L=9.00e-07) Y,M1:id (L=1.00e-06) X,M1:id (L=1.00e-06) Y
0.4490000000000001,2.320064948958491e-06,0.4490000000000001,1.524709365417451e-06,0.4490000000000001,1.192024414969051e-06,0.4490000000000001,9.880956360375568e-07,0.4490000000000001,8.538227937854859e-07,0.4490000000000001,7.56711350872247e-07,0.4490000000000001,6.821719298485415e-07,0.4490000000000001,6.225941748972776e-07,0.4490000000000001,5.735681612643896e-07,0.4490000000000001,5.323323183778395e-07
0.4500000000000001,2.367293764326014e-06,0.4500000000000001,1.554182678731571e-06,0.4500000000000001,1.214549665859669e-06,0.4500000000000001,1.006537050409524e-06,0.4500000000000001,8.695676939314326e-07,0.4500000000000001,7.705154389984092e-07,0.4500000000000001,6.944981508873763e-07,0.4500000000000001,6.33749901399831e-07,0.4500000000000001,5.837696511424439e-07,0.4500000000000001,5.417384692467181e-07
0.4510000000000001,2.415310963263762e-06,0.4510000000000001,1.58411882228955e-06,0.4510000000000001,1.237419584215036e-06,0.4510000000000001,1.025255950089536e-06,0.4510000000000001,8.855456503088757e-07,0.4510000000000001,7.845208526751357e-07,0.4510000000000001,7.070018069130465e-07,0.4510000000000001,6.450643746818325e-07,0.4510000000000001,5.941148409298554e-07,0.4510000000000001,5.51275928277536e-07
0.4520000000000001,2.464125618450785e-06,0.4520000000000001,1.614522920930135e-06,0.4520000000000001,1.260637884382747e-06,0.4520000000000001,1.044255236936213e-06,0.4520000000000001,9.017590322775139e-07,0.4520000000000001,7.987295877125206e-07,0.4520000000000001,7.196846182332527e-07,0.4520000000000001,6.565391040082225e-07,0.4520000000000001,6.046050733712609e-07,0.4520000000000001,5.60945903672326e-07
0.4530000000000001,2.513746828169232e-06,0.4530000000000001,1.645400123619772e-06,0.4530000000000001,1.284208297722523e-06,0.4530000000000001,1.063537824447347e-06,0.4530000000000001,9.182102175929873e-07,0.4530000000000001,8.131436462070641e-07,0.4530000000000001,7.325483099944397e-07,0.4530000000000001,6.681756024481487e-07,0.4530000000000001,6.152416942524448e-07,0.4530000000000001,5.707496060965641e-07
0.4540000000000001,2.564183715251847e-06,0.4540000000000001,1.676755603211169e-06,0.4540000000000001,1.308134572405722e-06,0.4540000000000001,1.083106637576104e-06,0.4540000000000001,9.349015922409778e-07,0.4540000000000001,8.277650363912931e-07,0.4540000000000001,7.455946120446613e-07,0.4540000000000001,6.799753867492599e-07,0.4540000000000001,6.260260522841896e-07,0.4540000000000001,5.806882485716295e-07
0.4550000000000001,2.615445426032258e-06,0.4550000000000001,1.708594556194637e-06,0.4550000000000001,1.33242047320748e-06,0.4550000000000001,1.102964612541855e-06,0.4550000000000001,9.518355502667852e-07,0.4550000000000001,8.425957724796832e-07,0.4550000000000001,7.588252587933865e-07,0.4550000000000001,6.919399772091508e-07,0.4550000000000001,6.36959498983938e-07,0.4550000000000001,5.907630463650008e-07
0.4560000000000001,2.667541129298096e-06,0.4560000000000001,1.740922202441702e-06,0.4560000000000001,1.357069781291653e-06,0.4560000000000001,1.123114696635176e-06,0.4560000000000001,9.69014493600365e-07,0.4560000000000001,8.576378745107936e-07,0.4560000000000001,7.722419890680037e-07,0.4560000000000001,7.040708975441752e-07,0.4560000000000001,6.480433885550151e-07,0.4560000000000001,6.009752168785874e-07
0.4570000000000001,2.720480015248188e-06,0.4570000000000001,1.773743784941064e-06,0.4570000000000001,1.382086293987825e-06,0.4570000000000001,1.143559848017265e-06,0.4570000000000001,9.864408318767955e-07,0.4570000000000001,8.728933681856463e-07,0.4570000000000001,7.858465459672965e-07,0.4570000000000001,7.163696747555944e-07,0.4570000000000001,6.592790777635791e-07,0.4570000000000001,6.11325979534957e-07
0.4580000000000001,2.774271294452928e-06,0.4580000000000001,1.807064569525958e-06,0.4580000000000001,1.40747382456065e-06,0.4580000000000001,1.164303035513112e-06,0.4580000000000001,1.00411698225195e-06,0.4580000000000001,8.883642847022865e-07,0.4580000000000001,7.99640676711688e-07,0.4580000000000001,7.288378389929759e-07,0.4580000000000001,6.706679258132266e-07,0.4580000000000001,6.218165556616221e-07
