M0:gm (L=1.00e-07) X,M0:gm (L=1.00e-07) Y,M0:gm (L=2.00e-07) X,M0:gm (L=2.00e-07) Y,M0:gm (L=3.00e-07) X,M0:gm (L=3.00e-07) Y,M0:gm (L=4.00e-07) X,M0:gm (L=4.00e-07) Y,M0:gm (L=5.00e-07) X,M0:gm (L=5.00e-07) Y,M0:gm (L=6.00e-07) X,M0:gm (L=6.00e-07) Y,M0:gm (L=7.00e-07) X,M0:gm (L=7.00e-07) Y,M0:gm (L=8.00e-07) X,M0:gm (L=8.00e-07) Y,M0:gm (L=9.00e-07) X,M0:gm (L=9.00e-07) Y,M0:gm (L=1.00e-06) X,M0:gm (L=1.00e-06) Y
0.4580000000000001,2.272052682317894e-05,0.4580000000000001,1.975421577204507e-05,0.4580000000000001,1.62170583444287e-05,0.4580000000000001,1.320892320053577e-05,0.4580000000000001,1.10908056179851e-05,0.4580000000000001,9.533604952357366e-06,0.4580000000000001,8.347418478305411e-06,0.4580000000000001,7.416881749553368e-06,0.4580000000000001,6.668922498278548e-06,0.4580000000000001,6.055427421730233e-06
0.4590000000000001,2.314124780283621e-05,0.4590000000000001,2.007969849973864e-05,0.4590000000000001,1.646575024287731e-05,0.4590000000000001,1.34040064161549e-05,0.4590000000000001,1.125021611148658e-05,0.4590000000000001,9.66788786225211e-06,0.4590000000000001,8.463173709770953e-06,0.4590000000000001,7.518468247736177e-06,0.4590000000000001,6.759351330115411e-06,0.4590000000000001,6.136857355112541e-06
0.4600000000000001,2.3567617104495e-05,0.4600000000000001,2.040827909263973e-05,0.4600000000000001,1.671634635766581e-05,0.4600000000000001,1.360039668195224e-05,0.4600000000000001,1.141059340221473e-05,0.4600000000000001,9.802924978377906e-06,0.4600000000000001,8.579540573070741e-06,0.4600000000000001,7.620565440387875e-06,0.4600000000000001,6.850216317319518e-06,0.4600000000000001,6.218666518529358e-06
0.4610000000000001,2.399964864341662e-05,0.4610000000000001,2.073993716532073e-05,0.4610000000000001,1.696882487175015e-05,0.4610000000000001,1.379807472574294e-05,0.4610000000000001,1.157192094950807e-05,0.4610000000000001,9.938702035963537e-06,0.4610000000000001,8.696506620265267e-06,0.4610000000000001,7.723162330266503e-06,0.4610000000000001,6.941507634538483e-06,0.4610000000000001,6.300846046889498e-06
0.4620000000000001,2.443735470797306e-05,0.4620000000000001,2.107465154587108e-05,0.4620000000000001,1.722316364214492e-05,0.4620000000000001,1.399702112869548e-05,0.4620000000000001,1.173418215539886e-05,0.4620000000000001,1.00752047595043e-05,0.4620000000000001,8.814059418060059e-06,0.4620000000000001,7.826247949000605e-06,0.4620000000000001,7.033215493324636e-06,0.4620000000000001,6.383387116454176e-06
0.4630000000000001,2.488074594316972e-05,0.4630000000000001,2.141240029879083e-05,0.4630000000000001,1.747934022090454e-05,0.4630000000000001,1.419721634254178e-05,0.4630000000000001,1.189736037852463e-05,0.4630000000000001,1.021241887417768e-05,0.4630000000000001,8.932186557364334e-06,0.4630000000000001,7.929811365243568e-06,0.4630000000000001,7.12533014920581e-06,0.4630000000000001,6.466280951054657e-06
0.4640000000000001,2.532983133592182e-05,0.4640000000000001,2.175316074839489e-05,0.4640000000000001,1.77373318759794e-05,0.4640000000000001,1.439864070652107e-05,0.4640000000000001,1.206143894773244e-05,0.4640000000000001,1.035033011695655e-05,0.4640000000000001,9.050875662560222e-06,0.4640000000000001,8.033841692556211e-06,0.4640000000000001,7.217841908502192e-06,0.4640000000000001,6.549518828071479e-06
0.4650000000000001,2.578461820210867e-05,0.4650000000000001,2.209690950268078e-05,0.4650000000000001,1.799711561191801e-05,0.4650000000000001,1.460127446403487e-05,0.4650000000000001,1.222640117536331e-05,0.4650000000000001,1.048892424740453e-05,0.4650000000000001,9.170114400471396e-06,0.4650000000000001,8.138328097009397e-06,0.4650000000000001,7.310741134883718e-06,0.4650000000000001,6.633092084173816e-06
0.4660000000000001,2.624511217543233e-05,0.4660000000000001,2.244362247759983e-05,0.4660000000000001,1.825866819037437e-05,0.4660000000000001,1.480509777898743e-05,0.4660000000000001,1.23922303702004e-05,0.4660000000000001,1.062818705814537e-05,0.4660000000000001,9.289890489025382e-06,0.4660000000000001,8.243259804502502e-06,0.4660000000000001,7.404018255663621e-06,0.4660000000000001,6.716992120814209e-06
0.4670000000000001,2.671131719809942e-05,0.4670000000000001,2.279327492168052e-05,0.4670000000000001,1.852196615038692e-05,0.4670000000000001,1.501009075179157e-05,0.4670000000000001,1.255890985006308e-05,0.4670000000000001,1.076810438499382e-05,0.4670000000000001,9.410191705602125e-06,0.4670000000000001,8.348626107791569e-06,0.4670000000000001,7.497663767825671e-06,0.4670000000000001,6.801210409477584e-06
